performance,metric,DataSet,method,perturb,DEG,Ncontrol,Nimputed,Nstimulated,seed
0.522,pearson_distance,Replogle_exp6,WitnessCell,AHCYL1+FDPS,100,2000,149,149,1
0.0071,mse,Replogle_exp6,WitnessCell,AHCYL1+FDPS,100,2000,149,149,1
0.3307,edistance,Replogle_exp6,WitnessCell,AHCYL1+FDPS,100,2000,149,149,1
44.3908,sym_kldiv,Replogle_exp6,WitnessCell,AHCYL1+FDPS,100,2000,149,149,1
4.2075,wasserstein,Replogle_exp6,WitnessCell,AHCYL1+FDPS,100,2000,149,149,1
0.0,common_degs,Replogle_exp6,WitnessCell,AHCYL1+FDPS,100,2000,149,149,1
0.3459,pearson_distance,Replogle_exp6,WitnessCell,AHCYL1+FDPS,5000,2000,149,149,1
0.0014,mse,Replogle_exp6,WitnessCell,AHCYL1+FDPS,5000,2000,149,149,1
0.4492,edistance,Replogle_exp6,WitnessCell,AHCYL1+FDPS,5000,2000,149,149,1
40.3048,sym_kldiv,Replogle_exp6,WitnessCell,AHCYL1+FDPS,5000,2000,149,149,1
0.5509,pearson_distance,Replogle_exp6,WitnessCell,ATM+FDPS,100,2000,91,91,1
0.0083,mse,Replogle_exp6,WitnessCell,ATM+FDPS,100,2000,91,91,1
0.4982,edistance,Replogle_exp6,WitnessCell,ATM+FDPS,100,2000,91,91,1
45.0139,sym_kldiv,Replogle_exp6,WitnessCell,ATM+FDPS,100,2000,91,91,1
2.5479,wasserstein,Replogle_exp6,WitnessCell,ATM+FDPS,100,2000,91,91,1
0.0,common_degs,Replogle_exp6,WitnessCell,ATM+FDPS,100,2000,91,91,1
0.3407,pearson_distance,Replogle_exp6,WitnessCell,ATM+FDPS,5000,2000,91,91,1
0.0019,mse,Replogle_exp6,WitnessCell,ATM+FDPS,5000,2000,91,91,1
0.6586,edistance,Replogle_exp6,WitnessCell,ATM+FDPS,5000,2000,91,91,1
40.9148,sym_kldiv,Replogle_exp6,WitnessCell,ATM+FDPS,5000,2000,91,91,1
0.8965,pearson_distance,Replogle_exp6,WitnessCell,ATR+FDPS,100,2000,571,571,1
0.0097,mse,Replogle_exp6,WitnessCell,ATR+FDPS,100,2000,571,571,1
0.3622,edistance,Replogle_exp6,WitnessCell,ATR+FDPS,100,2000,571,571,1
1.094,sym_kldiv,Replogle_exp6,WitnessCell,ATR+FDPS,100,2000,571,571,1
51.4946,wasserstein,Replogle_exp6,WitnessCell,ATR+FDPS,100,2000,571,571,1
0.0,common_degs,Replogle_exp6,WitnessCell,ATR+FDPS,100,2000,571,571,1
0.7652,pearson_distance,Replogle_exp6,WitnessCell,ATR+FDPS,5000,2000,571,571,1
0.0012,mse,Replogle_exp6,WitnessCell,ATR+FDPS,5000,2000,571,571,1
0.3606,edistance,Replogle_exp6,WitnessCell,ATR+FDPS,5000,2000,571,571,1
